id,date,collection_location,travel_history,new_cases,mobility,sequencing_intensity
seq_101769,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101770,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101798,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101841,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101847,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101868,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101874,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101904,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101906,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101930,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101935,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_101973,2020-07-02,domestic,no_travel,896,-0.01,0.107142857142857
seq_10199,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102018,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_10205,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102064,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102076,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102085,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102108,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102130,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102143,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102153,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_10216,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_10217,2020-07-01,domestic,no_travel,896,-0.01,0.107142857142857
seq_102227,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102228,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102254,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102276,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102280,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102285,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_10228,2020-06-30,domestic,travel,896,-0.01,0.107142857142857
seq_10229,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102303,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_10230,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102342,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_10234,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102350,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_10236,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102371,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102378,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102401,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
