id,collection_location,collection_date
seq_62666,domestic,2020-04-24
seq_112951,domestic,2020-06-08
seq_57895,intl_source,2020-04-26
seq_10676,intl_source,2020-06-17
seq_35531,intl_source,2020-05-05
seq_50610,domestic,2020-04-29
seq_50686,domestic,2020-04-29
seq_66497,domestic,2020-04-23
seq_54048,domestic,2020-04-28
seq_157865,intl_source,2020-05-13
seq_114944,intl_source,2020-06-06
seq_25150,intl_source,2020-05-09
seq_18200,intl_source,2020-05-11
seq_148761,intl_source,2020-05-16
seq_128579,domestic,2020-05-26
seq_105699,domestic,2020-06-19
seq_105803,intl_source,2020-06-19
seq_16267,intl_source,2020-05-12
seq_40938,domestic,2020-05-03
seq_49249,intl_source,2020-04-30
seq_106689,domestic,2020-06-17
seq_98115,intl_source,2020-03-16
seq_64857,domestic,2020-04-23
seq_15209,intl_source,2020-05-15
seq_30119,domestic,2020-05-07
seq_130102,intl_source,2020-05-25
seq_120341,intl_source,2020-06-01
seq_121536,domestic,2020-05-31
seq_68429,domestic,2020-04-22
seq_786,domestic,2020-07-21
seq_117048,domestic,2020-06-04
seq_44081,intl_source,2020-05-02
seq_18134,domestic,2020-05-11
seq_132650,domestic,2020-05-24
seq_129514,domestic,2020-05-26
seq_58693,domestic,2020-04-26
seq_28520,domestic,2020-05-07
seq_16247,domestic,2020-05-12
seq_119828,intl_source,2020-06-01
seq_4573,domestic,2020-05-01
seq_118814,intl_source,2020-06-02
seq_86879,domestic,2020-04-09
seq_29496,intl_source,2020-05-07
seq_67440,domestic,2020-04-22
seq_33652,intl_source,2020-05-06
seq_113292,domestic,2020-06-07
seq_121540,domestic,2020-05-31
seq_139346,domestic,2020-05-21
seq_124147,domestic,2020-05-29
seq_14495,intl_source,2020-05-18
seq_18404,Imports,2020-05-11
seq_153453,domestic,2020-05-15
seq_25919,intl_source,2020-05-08
seq_92163,Imports,2020-04-02
seq_122908,intl_source,2020-05-30
seq_50803,intl_source,2020-04-29
seq_156842,domestic,2020-05-13
seq_85460,intl_source,2020-04-10
seq_110657,domestic,2020-06-11
seq_79265,domestic,2020-04-15
seq_45729,intl_source,2020-05-01
seq_22010,domestic,2020-05-10
seq_139850,domestic,2020-05-20
seq_67223,domestic,2020-04-22
seq_66906,domestic,2020-04-22
seq_46214,domestic,2020-05-01
seq_79929,intl_source,2020-04-15
seq_54708,domestic,2020-04-28
seq_3912,intl_source,2020-05-04
seq_52682,intl_source,2020-04-28
